Kabupaten/Kota;AHH;HLS;RLS;Pengeluaran per Kapita Riil (Rp);IPM;Tahun
Kabupaten Pacitan;70.42;11.01;6;6774.96;61.14;2010
Kabupaten Ponorogo;71.62;12.1;6.12;7536.86;64.13;2010
Kabupaten Trenggalek;72.32;11.13;6.32;7583.88;63.67;2010
Kabupaten Tulungagung;72.73;11.75;7.34;8660.49;67.28;2010
Kabupaten Blitar;72.31;11.03;6.43;8423.44;64.79;2010
Kabupaten Kediri;71.87;11.37;7.03;8791.24;66.24;2010
Kabupaten Malang;71.62;10.71;6.34;7979.88;63.47;2010
Kabupaten Lumajang;68.71;10.49;5.46;7116.35;59.62;2010
Kabupaten Jember;67.44;10.87;5.49;7380.45;59.94;2010
Kabupaten Banyuwangi;69.61;11.04;6.38;9261.76;64.54;2010
Kabupaten Bondowoso;64.94;11.27;4.97;8064.31;59.47;2010
Kabupaten Situbondo;67.71;11.5;4.91;7441.67;60.07;2010
Kabupaten Probolinggo;65.35;10.37;5.11;9004.01;59.83;2010
Kabupaten Pasuruan;69.65;10.45;5.83;7342.6;60.79;2010
Kabupaten Sidoarjo;73.42;12.37;9.22;11717.16;73.75;2010
Kabupaten Mojokerto;71.64;11.69;7.22;10099.07;68.14;2010
Kabupaten Jombang;71.18;11.33;7.26;8787.83;66.2;2010
Kabupaten Nganjuk;70.61;10.84;6.71;9662.81;65.6;2010
Kabupaten Madiun;69.38;11.59;6.13;9415.93;64.87;2010
Kabupaten Magetan;71.62;12.4;7.12;8961.45;67.58;2010
Kabupaten Ngawi;71.01;11.43;5.82;9003.45;64.52;2010
Kabupaten Bojonegoro;69.8;11.14;5.51;8086.59;62.19;2010
Kabupaten Tuban;70;10.47;5.58;7897.68;61.33;2010
Kabupaten Lamongan;71.18;11.79;6.48;8552.94;65.4;2010
Kabupaten Gresik;72.15;11.89;7.93;10490.66;69.9;2010
Kabupaten Bangkalan;69.46;10.16;4.29;6708.78;57.23;2010
Kabupaten Sampang;67.35;9.78;3.14;6952.48;54.49;2010
Kabupaten Pamekasan;66.38;12.34;5.11;6531.72;59.37;2010
Kabupaten Sumenep;69.72;11.58;4.2;5745.99;57.27;2010
Kota Kediri;73.44;12.72;9.18;9764.64;72.2;2010
Kota Blitar;72.59;12.13;9.47;10756.25;72.56;2010
Kota Malang;72.17;13.41;9.38;14753.76;76.69;2010
Kota Probolinggo;69.35;11.91;8.17;8894.09;67.3;2010
Kota Pasuruan;70.41;11.86;8.59;10237.05;69.69;2010
Kota Mojokerto;72.27;12.46;9.79;10371.48;72.78;2010
Kota Madiun;72.23;12.42;10.32;13455.16;75.98;2010
Kota Surabaya;73.76;12.88;9.76;14473.18;77.2;2010
Kota Batu;71.95;12.6;7.31;9394.89;68.66;2010
Kabupaten Pacitan;70.51;11.03;6.1;7232.03;62.03;2011
Kabupaten Ponorogo;71.7;12.33;6.45;7849.45;65.28;2011
Kabupaten Trenggalek;72.38;11.17;6.36;7935.66;64.27;2011
Kabupaten Tulungagung;72.77;11.84;7.37;8929.11;67.76;2011
Kabupaten Blitar;72.36;11.18;6.52;8726.01;65.47;2011
Kabupaten Kediri;71.92;11.54;7.06;9102.46;66.84;2011
Kabupaten Malang;71.67;10.78;6.35;8300.34;63.97;2011
Kabupaten Lumajang;68.81;10.71;5.69;7467.08;60.72;2011
Kabupaten Jember;67.54;10.99;5.53;7732.07;60.64;2011
Kabupaten Banyuwangi;69.7;11.22;6.53;9741.09;65.48;2011
Kabupaten Bondowoso;65.08;11.72;4.97;8418.39;60.46;2011
Kabupaten Situbondo;67.83;11.54;5.04;7812.23;60.82;2011
Kabupaten Probolinggo;65.47;10.4;5.13;9358.52;60.3;2011
Kabupaten Pasuruan;69.7;10.59;5.85;7660.82;61.43;2011
Kabupaten Sidoarjo;73.42;12.42;9.5;12094.93;74.48;2011
Kabupaten Mojokerto;71.69;11.75;7.26;10551.67;68.71;2011
Kabupaten Jombang;71.22;11.54;7.28;9111.84;66.84;2011
Kabupaten Nganjuk;70.68;11.15;6.83;10100.29;66.58;2011
Kabupaten Madiun;69.49;11.65;6.43;9994.91;65.98;2011
Kabupaten Magetan;71.71;12.42;7.23;9635.17;68.52;2011
Kabupaten Ngawi;71.1;11.73;6.19;9387.83;65.84;2011
Kabupaten Bojonegoro;69.89;11.43;5.7;8413.29;63.22;2011
